SEASON,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,MIN,PTS,REB,AST,TOV,FG_PCT,FG3_PCT,FT_PCT,PLUS_MINUS,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,PACE,PIE,AST_TOV_CALC,playmaking_value_index,scoring_efficiency_index,half_court_creator_index,turnover_risk_index,performance_argument_score,PTS_z,PTS_distance_from_harden,AST_z,AST_distance_from_harden,AST_PCT_z,AST_PCT_distance_from_harden,USG_PCT_z,USG_PCT_distance_from_harden,TS_PCT_z,TS_PCT_distance_from_harden,OFF_RATING_z,OFF_RATING_distance_from_harden,AST_TO_z,AST_TO_distance_from_harden,performance_argument_score_z,performance_argument_score_distance_from_harden,harden_similarity_distance,harden_similarity_score,contract_player_key,player_name,contract_group,contract_years,contract_value,aav,current_team,contract_note,aav_millions,performance_score_per_1m_aav,assist_per_1m_aav,contract_tier,data_layer
2025-26,201935,James Harden,1610612739,CLE,36.0,70,34.8,23.6,4.8,8.0,3.5,0.434,0.375,0.884,1.4,118.8,117.0,1.8,0.347,2.27,26.1,11.5,0.529,0.61,0.279,98.24,0.143,2.2857142857142856,36.035,44.730000000000004,47.35475,11.024999999999999,43.496,1.1592281257731072,0.0,0.777549120803087,0.0,0.22848663446529127,0.0,0.4742606743325385,0.0,0.9454737478847323,0.0,0.7055144803852698,0.0,-0.4391132145119504,0.0,0.6846546531769391,0.0,0.0,100.0,james harden,James Harden,Target Free Agent / Creator Guard,2,81500000,40750000,LAC,2 years / $81.5M reported contract benchmark,40.75,1.0673865030674847,0.19631901840490798,Max / Near-Max Creator,Current Similar Creator Guard Contract Comparison
2025-26,1629636,Darius Garland,1610612746,LAC,26.0,45,29.9,18.8,2.4,6.7,2.9,0.46,0.396,0.861,1.9,117.9,115.2,2.6,0.322,2.32,26.0,11.2,0.551,0.582,0.266,101.84,0.112,2.310344827586207,32.11,40.162,43.507200000000005,9.719999999999999,40.1052,0.016662416592220484,-1.1425657091808867,0.0706862837093715,-0.7068628370937156,-0.018793272964677803,-0.24727990742996908,0.21949254349274544,-0.25476813083979305,0.06008027160471247,-0.8853934762800197,0.49315226220910424,-0.21236221817616552,-0.2927421430079678,0.1463710715039826,0.027432083940101545,-0.6572225692368375,1.7926379832542287,73.8723134393712,darius garland,Darius Garland,Primary Guard,5,197230450,39446090,LAC,Primary guard benchmark,39.44609,1.0167091339090897,0.16985206898833322,Premium Veteran Guard,Current Similar Creator Guard Contract Comparison
2025-26,1628973,Jalen Brunson,1610612752,NYK,29.0,74,35.0,26.0,3.3,6.8,2.4,0.467,0.369,0.841,4.8,120.2,114.1,6.1,0.307,2.87,21.7,7.5,0.533,0.58,0.296,98.25,0.135,2.8333333333333335,33.385,45.52799999999999,46.31655,7.425,43.7178,1.73051098036355,0.5712828545904429,0.1250603481011956,-0.6524887727018914,-0.16716121742265957,-0.3956478518879508,0.8074189992768822,0.3331583249443437,-0.0031621195581460876,-0.9486358674428783,1.0358557086593094,0.33034122827403967,1.3173396435358473,1.7564528580477976,0.7276450878403599,0.042990434663420785,2.2617797299356597,67.03457563380111,jalen brunson,Jalen Brunson,Elite Lead Guard,4,156500000,39125000,NYK,Elite lead guard benchmark,39.125,1.11738785942492,0.17380191693290734,Premium Veteran Guard,Current Similar Creator Guard Contract Comparison
2025-26,1630163,LaMelo Ball,1610612766,CHA,24.0,72,28.0,20.1,4.8,7.1,2.8,0.407,0.368,0.899,5.8,123.2,114.1,9.1,0.384,2.54,25.3,9.9,0.516,0.546,0.306,99.45,0.134,2.5357142857142856,36.269999999999996,39.60600000000001,46.1306,9.065,42.95785,0.3261072961620441,-0.833120829611063,0.2881825412766683,-0.4893665795264187,0.5944608974616463,0.36597426299635505,1.0033944845382614,0.5291338102057229,-1.078282769326738,-2.02375651721147,1.7437297692465343,1.0382152888612646,0.3512905716095585,0.790403786121509,0.5803476089293264,-0.10430704424761272,2.675180227151777,61.00926616464489,lamelo ball,LaMelo Ball,High-Usage Creator,5,203852600,40770520,CHA,High-usage creator benchmark,40.77052,1.0536497940178344,0.17414543645751882,Max / Near-Max Creator,Current Similar Creator Guard Contract Comparison
2025-26,1629645,Kevin Porter Jr.,1610612749,MIL,25.0,38,33.2,17.4,5.2,7.4,2.9,0.465,0.322,0.878,-2.8,111.4,116.1,-4.7,0.336,2.55,28.8,11.3,0.51,0.567,0.236,99.18,0.132,2.5517241379310347,35.115,37.629,43.623400000000004,9.754999999999999,40.20915,-0.31658591525220525,-1.4758140410253124,0.45130473445214153,-0.3262443863509455,0.11968347519610519,-0.10880315926918609,-0.3684339122913924,-0.8426945866239308,-0.41423766211672675,-1.359711410001459,-1.0405748690632166,-1.7460893494484864,0.38056478591035453,0.819678000422305,0.04758021596563171,-0.6370744372113074,2.996967429715446,56.319219849469405,kevin porter jr,Kevin Porter Jr.,Bucks Internal Guard,2,10268000,5134000,MIL,Current Bucks internal guard benchmark,5.134,7.831934164394235,1.4413712504869498,Low-Cost Guard,Current Similar Creator Guard Contract Comparison
2025-26,1629027,Trae Young,1610612764,WAS,27.0,15,25.6,17.9,2.0,8.0,2.6,0.458,0.338,0.825,-4.4,116.1,124.1,-8.1,0.44,3.08,32.0,10.4,0.534,0.612,0.262,108.13,0.128,3.0769230769230766,42.32,39.79599999999999,48.8146,8.84,45.7206,-0.19756865387919625,-1.3567967796523035,0.777549120803087,0.0,1.1483678901047778,0.9198812556394865,0.14110234938819374,-0.3331583249443447,1.008716139047591,0.06324239116285868,0.06842782585676656,-0.6370866545285032,1.9320981438525764,2.3712113583645267,1.1158382462889676,0.4311835931120285,3.002751254708875,56.234920639053534,trae young,Trae Young,High-Usage Primary Creator,5,215159700,43031940,WAS,Max-level primary creator benchmark,43.03194,1.062480566760411,0.18590842058247897,Max / Near-Max Creator,Current Similar Creator Guard Contract Comparison
2025-26,201950,Jrue Holiday,1610612757,POR,35.0,53,29.4,16.3,4.6,6.1,2.8,0.451,0.378,0.838,3.7,114.6,108.6,6.1,0.302,2.21,26.4,12.0,0.548,0.573,0.227,103.5,0.124,2.1785714285714284,29.494999999999994,37.631,40.8531,9.799999999999999,37.4231,-0.5784238902728246,-1.737652016045932,-0.25555810264157447,-1.0331072234446614,-0.2166171989086535,-0.44510383337394477,-0.5448118490266332,-1.0190725233591715,-0.22451048862815104,-1.1699842365128834,-0.2855092044368459,-0.9910236848221157,-0.6147585003167303,-0.1756452858047799,-0.49242654911113304,-1.1770812022880721,3.0150843728035626,56.05516552569358,jrue holiday,Jrue Holiday,Veteran Two-Way Guard,4,134400000,33600000,POR,4 years / $134.4M contract benchmark,33.6,1.113782738095238,0.18154761904761904,Premium Veteran Guard,Current Similar Creator Guard Contract Comparison
2025-26,1631157,Ryan Rollins,1610612749,MIL,23.0,74,32.1,17.3,4.6,5.6,2.7,0.472,0.406,0.796,-2.4,113.3,116.5,-3.2,0.264,2.06,24.2,11.7,0.561,0.583,0.236,99.55,0.111,2.074074074074074,26.4,39.117,39.540949999999995,9.495000000000001,36.217699999999994,-0.3403893675268066,-1.4996174932999138,-0.5274284246006958,-1.3049775454037829,-0.5924826582022068,-0.8209692926674981,-0.3684339122913924,-0.8426945866239308,0.09170146718614175,-0.8537722806985906,-0.5922546306913095,-1.2977691110765792,-1.0538717148286794,-0.614758500316729,-0.7260634740132468,-1.4107181271901859,3.180743495960634,53.6406849187953,ryan rollins,Ryan Rollins,Bucks Internal Guard,3,12000000,4000000,MIL,Current Bucks internal guard benchmark,4.0,9.054424999999998,1.4,Low-Cost Guard,Current Similar Creator Guard Contract Comparison
2025-26,1629630,Ja Morant,1610612763,MEM,26.0,20,28.4,19.5,3.3,8.1,3.6,0.41,0.235,0.897,-2.5,109.5,113.9,-4.4,0.447,2.27,26.6,11.7,0.441,0.521,0.305,106.6,0.128,2.25,40.184999999999995,36.655,45.881,11.295,41.92775,0.18328658251443294,-0.9759415432586742,0.831923185194911,0.05437406439182402,1.2176062641851693,0.989119629719878,0.9837969360121236,0.5095362616795851,-1.86881265886247,-2.814286406747202,-1.488895107435127,-2.194409587820397,-0.4391132145119504,0.0,0.38068824577878224,-0.30396640739815683,3.8757502852669585,43.510965634626054,ja morant,Ja Morant,Elite Athletic Creator,5,197230450,39446090,MEM,Max-level creator benchmark,39.44609,1.0629126993321774,0.20534354609037297,Premium Veteran Guard,Current Similar Creator Guard Contract Comparison
2025-26,1631260,AJ Green,1610612749,MIL,26.0,78,29.1,10.4,2.7,1.9,1.0,0.424,0.419,0.855,-1.9,113.1,116.7,-3.6,0.09,2.03,17.6,8.7,0.612,0.627,0.135,99.28,0.058,1.9,10.844999999999999,35.293,29.627299999999998,5.045,27.861549999999998,-1.9828275744743311,-3.1420557002474383,-2.5392688070981935,-3.3168179279012806,-2.313550813914794,-2.542037448380085,-2.347786313431321,-2.8220469877638594,1.48303407276903,0.5375603248842978,-0.6394462347304585,-1.3449607151157283,-1.14169435773107,-0.7025811432191197,-2.345696118795717,-3.030350771972656,6.8610666279023445,0.0,aj green,AJ Green,Bucks Internal Guard,4,45000000,11250000,MIL,Bucks extension benchmark,11.25,2.476582222222222,0.1688888888888889,Mid-Tier Rotation Guard,Current Similar Creator Guard Contract Comparison
