SEASON,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,MIN,PTS,REB,AST,TOV,PLUS_MINUS,FG_PCT,FG3_PCT,FT_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,PACE,PIE,normalized_player_name,player_group,bucks_guard_position,roster_guard_source,AST_TOV_CALC,playmaking_value_index,scoring_efficiency_index,half_court_creator_index,turnover_risk_index,performance_argument_score
2019-20,201935,James Harden,1610612745,HOU,30.0,68,36.5,34.3,6.6,7.5,4.5,4.2,0.444,0.355,0.865,114.0,108.2,5.8,0.366,1.66,19.4,11.6,0.543,0.626,0.356,103.04,0.19,james harden,James Harden,External Free Agent Target,Harden Target,1.6666666666666667,32.88,53.60999999999999,48.247499999999995,13.059999999999999,43.6765
2019-20,202339,Eric Bledsoe,1610612749,MIL,30.0,61,27.0,14.9,4.6,5.4,2.4,7.1,0.475,0.344,0.79,112.5,100.8,11.8,0.275,2.22,25.8,11.7,0.528,0.571,0.233,108.1,0.125,eric bledsoe,Milwaukee Bucks Guard,Bucks Guard,Roster Position,2.2500000000000004,26.93,36.033,38.67305,8.895,35.5598
2019-20,201588,George Hill,1610612749,MIL,34.0,59,21.5,9.4,3.0,3.1,1.0,5.1,0.516,0.46,0.842,112.7,102.1,10.6,0.196,3.16,27.5,8.7,0.624,0.659,0.152,104.84,0.117,george hill,Milwaukee Bucks Guard,Bucks Guard,Roster Position,3.1,20.380000000000003,36.105000000000004,35.115750000000006,5.045,33.35000000000001
2019-20,1628978,Donte DiVincenzo,1610612749,MIL,23.0,66,23.0,9.2,4.8,2.3,1.4,6.2,0.455,0.336,0.733,111.9,99.6,12.2,0.134,1.71,19.4,11.3,0.536,0.557,0.168,107.06,0.102,donte divincenzo,Milwaukee Bucks Guard,Bucks Guard,Roster Position,1.6428571428571428,12.725,30.887,28.999200000000002,6.755,26.634950000000003
2019-20,202083,Wesley Matthews,1610612749,MIL,33.0,67,24.4,7.4,2.5,1.4,0.6,6.8,0.396,0.364,0.765,110.5,98.3,12.2,0.07,2.14,15.8,7.4,0.524,0.547,0.123,107.09,0.054,wesley matthews,Milwaukee Bucks Guard,Bucks Guard,Roster Position,2.3333333333333335,9.31,29.433000000000007,26.472050000000003,3.79,25.145550000000004
2019-20,1626192,Pat Connaughton,1610612749,MIL,27.0,67,18.6,5.4,4.2,1.6,0.8,1.2,0.455,0.331,0.775,107.3,103.8,3.5,0.115,2.06,22.5,10.9,0.547,0.565,0.118,107.17,0.09,pat connaughton,Milwaukee Bucks Guard,Bucks Guard,Roster Position,2.0,11.290000000000003,28.067,26.76295,5.415,24.8677
2019-20,2594,Kyle Korver,1610612749,MIL,39.0,58,16.6,6.7,2.1,1.2,0.8,2.2,0.43,0.418,0.854,109.0,103.7,5.4,0.092,1.42,16.2,11.4,0.599,0.62,0.145,108.43,0.076,kyle korver,Milwaukee Bucks Guard,Bucks Guard,Roster Position,1.4999999999999998,8.21,32.076,26.6421,5.59,24.6856
2019-20,1628425,Sterling Brown,1610612749,MIL,25.0,52,14.7,5.1,3.5,1.0,0.8,1.3,0.371,0.324,0.8,104.0,101.7,2.4,0.094,1.21,14.0,11.5,0.457,0.486,0.162,106.75,0.082,sterling brown,Milwaukee Bucks Guard,Bucks Guard,Roster Position,1.25,7.374999999999999,24.977999999999994,23.198549999999997,5.625,21.229799999999997
2020-21,201935,James Harden,1610612751,BKN,31.0,44,36.6,24.6,7.9,10.8,4.0,2.3,0.466,0.362,0.861,117.2,114.3,2.9,0.442,2.68,31.2,11.6,0.548,0.618,0.283,99.78,0.174,james harden,James Harden,External Free Agent Target,Harden Target,2.7,48.10000000000001,45.654,54.15390000000001,12.059999999999999,49.93290000000001
2020-21,201950,Jrue Holiday,1610612749,MIL,31.0,59,32.3,17.7,4.5,6.1,2.2,6.4,0.503,0.392,0.787,117.9,108.8,9.2,0.253,2.81,26.2,9.3,0.57,0.592,0.217,103.99,0.124,jrue holiday,Milwaukee Bucks Guard,Bucks Guard,Roster Position,2.7727272727272725,29.334999999999997,39.583999999999996,41.77865,7.655,39.099399999999996
